Model,Average RMSE,Average MAE,Average ME,Average SMAPE
TimeGPT,0.1140795012612233,0.07971754780114024,-0.002908596330620282,33.37383759319333
NHITS,0.13131650331325473,0.11332357373610713,-0.023010443424522593,15.782595632224453
NBEATS,0.13359749111221134,0.11336646406921888,-0.028672467445671278,15.702286768747404
AutoARIMA,0.14318937150093083,0.1277316988525027,-0.0328357663889957,17.675050730683108
AutoETS,0.15105408373997772,0.13510530531605364,-0.04084853810250685,18.583131774331736
LightGBM,0.21764095577637935,0.19801353009726733,-0.1402075574762182,26.558242453213484
Naive,0.34851807194485784,0.282288936398306,0.14810989632813393,47.85726101841837
Seasonal Naive,0.3485429360219996,0.2822780681442352,0.14806027066661726,47.85709658753674
